Company,Domain,Location,Industry,Employees,Job Title,Job URL,Date Posted,Job ID,Job Description,Latest Funding,Funding Amount,Funding Date
Lonestar Freight Co,lonestarfreight-demo.com,"Houston, TX",Logistics,420,Senior Accountant,https://lonestarfreight-demo.com/careers/senior-accountant,1 day ago,LF-201,"Month-end close, reconciliations and audit support for a growing freight network.",,,
Lonestar Freight Co,lonestarfreight-demo.com,"Houston, TX",Logistics,420,Accounts Payable Specialist,https://lonestarfreight-demo.com/careers/accounts-payable-specialist,3 days ago,LF-198,High-volume carrier invoices across four terminals.,,,
Lonestar Freight Co,lonestarfreight-demo.com,"Houston, TX",Logistics,420,Controller,https://lonestarfreight-demo.com/careers/controller,9 days ago,LF-187,Own the close and the lender reporting.,,,
Pecan Street Software,pecanstreet-demo.com,"Austin, TX",Software,180,Financial Analyst,https://pecanstreet-demo.com/jobs/financial-analyst,today,PS-77,"Forecasting, pricing analysis and board reporting with the CFO.",Series B,$24M,5 days ago
Pecan Street Software,pecanstreet-demo.com,"Austin, TX",Software,180,Data Engineer,https://pecanstreet-demo.com/jobs/data-engineer,2 days ago,PS-75,Own the pipelines behind customer dashboards.,Series B,$24M,5 days ago
Riverbend Health Partners,riverbendhealth-demo.com,"Dallas, TX",Healthcare,950,Payroll Manager,https://riverbendhealth-demo.com/careers/payroll-manager,2 days ago,RB-340,Run multi-state payroll for 950 clinical and office staff.,,,
Riverbend Health Partners,riverbendhealth-demo.com,"Dallas, TX",Healthcare,950,Revenue Cycle Accountant,https://riverbendhealth-demo.com/careers/revenue-cycle-accountant,4 days ago,RB-338,Reconcile payer remittances and patient receivables.,,,
Magnolia Home Goods,magnoliahome-demo.com,"Atlanta, GA",E-commerce,260,Accounting Manager,https://magnoliahome-demo.com/jobs/accounting-manager,1 day ago,MH-52,Immediate start: lead a team of three through our first external audit.,,,
Peachtree Dental Group,peachtreedental-demo.com,"Savannah, GA",Healthcare,75,Bookkeeper,https://peachtreedental-demo.com/careers/bookkeeper,5 days ago,PD-9,Part-time bookkeeping across six dental practices.,,,
Lakeshore Manufacturing,lakeshoremfg-demo.com,"Chicago, IL",Manufacturing,1200,Plant Controller,https://lakeshoremfg-demo.com/careers/plant-controller,3 days ago,LM-140,Site finance lead for the main production plant.,,,
Lakeshore Manufacturing,lakeshoremfg-demo.com,"Chicago, IL",Manufacturing,1200,Cost Accountant,https://lakeshoremfg-demo.com/careers/cost-accountant-lm-131,2 days ago,LM-131,Re-advertised. Standard costing and inventory valuation across two sites.,,,
Lakeshore Manufacturing,lakeshoremfg-demo.com,"Chicago, IL",Manufacturing,1200,Cost Accountant,https://lakeshoremfg-demo.com/careers/cost-accountant-lm-088,24 days ago,LM-088,Standard costing and inventory valuation across two sites.,,,
Prairie Mutual Insurance,prairiemutual-demo.com,"Springfield, IL",Insurance,600,Senior Financial Analyst,https://prairiemutual-demo.com/careers/senior-financial-analyst,4 days ago,PM-610,Planning and variance analysis for the claims division.,,,
Prairie Mutual Insurance,prairiemutual-demo.com,"Springfield, IL",Insurance,600,Actuarial Analyst,https://prairiemutual-demo.com/careers/actuarial-analyst,2 days ago,PM-612,Pricing models for personal lines.,,,
Hudson Yards Media,hudsonyardsmedia-demo.com,"New York, NY",Media,340,FP&A Manager,https://hudsonyardsmedia-demo.com/jobs/fpa-manager,2 days ago,HY-1021,Build the budgeting process after our Series C.,Series C,$60M,3 days ago
Hudson Yards Media,hudsonyardsmedia-demo.com,"New York, NY",Media,340,Senior Financial Analyst,https://hudsonyardsmedia-demo.com/jobs/senior-financial-analyst,2 days ago,HY-1022,Revenue analytics across ad sales and subscriptions.,Series C,$60M,3 days ago
Empire Solar,empiresolar-demo.com,"Albany, NY",Renewable Energy,150,Staff Accountant,https://empiresolar-demo.com/careers/staff-accountant,6 days ago,ES-33,Project accounting for commercial solar installations.,,,
Kingsbridge Logistics Ltd,kingsbridge-demo.com,"London, United Kingdom",Logistics,510,Management Accountant,https://kingsbridge-demo.com/vacancies/management-accountant,1 day ago,KB-2207,Monthly management accounts for the UK road-freight division.,,,
Kingsbridge Logistics Ltd,kingsbridge-demo.com,"London, United Kingdom",Logistics,510,Credit Controller,https://kingsbridge-demo.com/vacancies/credit-controller,3 days ago,KB-2203,"Chase a busy sales ledger of 1,200 trade customers.",,,
Northern Quarter Games,nqgames-demo.com,"Manchester, United Kingdom",Video Games,85,Finance Manager,https://nqgames-demo.com/jobs/finance-manager,4 days ago,NQ-58,First dedicated finance hire reporting to the COO.,,,
Northern Quarter Games,nqgames-demo.com,"Manchester, United Kingdom",Video Games,85,Senior Software Engineer (Unity),https://nqgames-demo.com/jobs/senior-software-engineer,3 days ago,NQ-57,Gameplay systems for our next console release.,,,
Clydeside Engineering Ltd,,"Glasgow, Scotland",Manufacturing,230,Assistant Accountant,https://jobboard-demo.com/jobs/48213,2 days ago,JB-48213,Purchase ledger and bank reconciliations.,,,
Alamo Craft Brewing,alamobrewing-demo.com,"San Antonio, TX",Food & Beverage,12,Bookkeeper,https://alamobrewing-demo.com/jobs/bookkeeper,1 day ago,AB-4,Part-time books for a taproom and a small distribution business.,,,
Summit Staffing Group,summitstaffing-demo.com,"Dallas, TX",Staffing & Recruiting,300,Payroll Specialist,https://summitstaffing-demo.com/careers/payroll-specialist,1 day ago,SS-910,"Weekly payroll for 2,000 contract workers placed by our agency.",,,
Riverwalk Hospitality Group,riverwalk-demo.com,"San Antonio, TX",Hospitality,800,Senior Accountant,https://riverwalk-demo.com/careers/senior-accountant,2 days ago,RW-71,Hotel group accounting and intercompany reconciliations.,,,
Gulf Coast Paper Co,gulfcoastpaper-demo.com,"Corpus Christi, TX",Manufacturing,260,Controller,https://gulfcoastpaper-demo.com/jobs/controller,1 day ago,GC-18,Own the close for two paper mills.,,,
Bayou Energy Services,bayouenergy-demo.com,"Baton Rouge, LA",Oil & Gas,380,Senior Accountant,https://bayouenergy-demo.com/careers/senior-accountant,2 days ago,BE-266,Joint-interest billing and field-cost accounting.,,,
Maple Grove Foods,maplegrove-demo.com,"Toronto, ON, Canada",Food Manufacturing,400,Senior Accountant,https://maplegrove-demo.com/careers/senior-accountant,2 days ago,MG-301,Inventory and cost accounting for three plants.,,,
Maple Grove Foods,maplegrove-demo.com,"Toronto, ON, Canada",Food Manufacturing,400,Data Engineer,https://maplegrove-demo.com/careers/data-engineer,5 days ago,MG-305,Plant telemetry and supply-chain data pipelines.,,,
Wattle & Co,wattleco-demo.com,"Sydney, Australia",Retail,220,Financial Accountant,https://wattleco-demo.com/careers/financial-accountant,3 days ago,WC-12,Statutory reporting and GST returns for 40 stores.,,,
Old Mill Bakeries,oldmill-demo.com,"Leeds, United Kingdom",Food Manufacturing,310,Management Accountant,https://oldmill-demo.com/jobs/management-accountant,12 days ago,OM-45,Monthly reporting for four bakeries.,,,
Old Mill Bakeries,oldmill-demo.com,"Leeds, United Kingdom",Food Manufacturing,310,Accounts Payable Clerk,https://oldmill-demo.com/jobs/accounts-payable-clerk,16 days ago,OM-41,Supplier invoices and payment runs.,,,
Greyfriars Legal LLP,greyfriars-demo.com,"Edinburgh, United Kingdom",Legal Services,180,Billing Accountant,https://greyfriars-demo.com/careers/billing-accountant,,GL-7,Client billing and trust-account reconciliations.,,,
Lone Pine Credit Union,lonepine-demo.com,"Tyler, TX",Financial Services,140,Accounting Intern,https://lonepine-demo.com/careers/accounting-intern,1 day ago,LP-3,Summer internship in the finance team.,,,
Copperline Robotics,copperline-demo.com,"Pittsburgh, PA",Robotics,140,Senior Backend Engineer,https://copperline-demo.com/jobs/senior-backend-engineer,1 day ago,CR-88,Python services for the fleet-management platform.,Series A,$12M,6 days ago
Copperline Robotics,copperline-demo.com,"Pittsburgh, PA",Robotics,140,DevOps Engineer,https://copperline-demo.com/jobs/devops-engineer,5 days ago,CR-86,CI/CD and cloud infrastructure for robot fleets.,Series A,$12M,6 days ago
Stackyard Labs,stackyard-demo.com,"Austin, TX",Software,45,Platform Engineer,https://stackyard-demo.com/careers/platform-engineer,3 days ago,SY-21,Kubernetes platform for a small product team.,Seed,$3M,4 days ago
Stackyard Labs,stackyard-demo.com,"Austin, TX",Software,45,Data Engineer,https://stackyard-demo.com/careers/data-engineer,9 days ago,SY-17,Warehouse and dbt models.,Seed,$3M,4 days ago
Bluegum Software,,"Melbourne, Australia",Software,60,Full Stack Engineer,https://jobboard-demo.com/jobs/51877,2 days ago,JB-51877,TypeScript and Go across the product.,,,
Bluegum Software,,"Melbourne, Australia",Software,60,Senior Data Engineer,https://jobboard-demo.com/jobs/51870,6 days ago,JB-51870,Streaming pipelines on AWS.,,,
