company,domain,location,industry,employees,signal_type,signal_title,signal_date,signal_url,signal_description,signal_id
Brightwave Analytics,brightwave-demo.com,"Austin, TX",Software,180,job_posting,Senior Financial Analyst,1 day ago,https://brightwave-demo.com/careers/senior-financial-analyst,"FP&A role supporting the CFO on forecasting, board packs and pricing analysis.",bw-101
Brightwave Analytics,brightwave-demo.com,"Austin, TX",Software,180,job_posting,Financial Controller,26 days ago,https://brightwave-demo.com/careers/financial-controller,"Urgent: own the month-end close and get the audit ready ahead of the next board cycle.",bw-087
Brightwave Analytics,brightwave-demo.com,"Austin, TX",Software,180,job_posting,Data Engineer,4 days ago,https://brightwave-demo.com/careers/data-engineer,"Build and own the warehouse pipelines that feed customer dashboards.",bw-104
Brightwave Analytics,brightwave-demo.com,"Austin, TX",Software,180,funding,Raised Series B ($24M),12 days ago,https://brightwave-demo.com/news/series-b,"Growth round to expand the go-to-market and finance teams.",bw-f1
Harborline Logistics,harborline-demo.com,"Rotterdam, Netherlands",Logistics,420,job_posting,Finance Manager,2 days ago,https://harborline-demo.com/jobs/finance-manager,"Own management reporting for three operating entities.",hl-55
Harborline Logistics,harborline-demo.com,"Rotterdam, Netherlands",Logistics,420,job_posting,Accounts Payable Specialist,9 days ago,https://harborline-demo.com/jobs/accounts-payable,"High-volume supplier invoices across two warehouses.",hl-51
Harborline Logistics,harborline-demo.com,"Rotterdam, Netherlands",Logistics,420,expansion,Opening a new distribution hub,10 days ago,https://harborline-demo.com/news/new-hub,"Around 120 new roles planned over the next 12 months.",hl-e1
Kestrel Health,kestrel-demo.com,"Manchester, United Kingdom",Healthcare Technology,95,job_posting,Backend Engineer (Python),3 days ago,https://kestrel-demo.com/careers/backend-engineer,"Python services behind the patient scheduling platform.",kh-12
Kestrel Health,kestrel-demo.com,"Manchester, United Kingdom",Healthcare Technology,95,job_posting,DevOps Engineer,6 days ago,https://kestrel-demo.com/careers/devops-engineer,"Own CI/CD and cloud infrastructure for a small platform team.",kh-14
Kestrel Health,kestrel-demo.com,"Manchester, United Kingdom",Healthcare Technology,95,leadership_change,New CTO appointed,15 days ago,https://kestrel-demo.com/news/new-cto,"A new CTO joined to scale the engineering team.",kh-l1
Lumen Ledger,lumenledger-demo.com,"Toronto, Canada",Fintech,60,job_posting,Head of Finance,today,https://lumenledger-demo.com/careers/head-of-finance,"Immediate start: first senior finance hire, reporting to the CEO.",ll-3
Lumen Ledger,lumenledger-demo.com,"Toronto, Canada",Fintech,60,job_posting,Financial Controller,24 days ago,https://lumenledger-demo.com/careers/financial-controller,"Build the close process from scratch as the company scales.",ll-2
Lumen Ledger,lumenledger-demo.com,"Toronto, Canada",Fintech,60,funding,Raised Seed ($4M),20 days ago,https://lumenledger-demo.com/news/seed,"Seed round to grow the team.",ll-f1
Northpeak Outdoor,northpeak-demo.com,"Denver, CO",E-commerce,140,job_posting,Senior Accountant,8 days ago,https://northpeak-demo.com/jobs/senior-accountant,"Inventory accounting and reconciliations for a fast-growing online retailer.",np-9
Northpeak Outdoor,northpeak-demo.com,"Denver, CO",E-commerce,140,expansion,Launching in three new markets,18 days ago,https://northpeak-demo.com/news/new-markets,"Now shipping to three new countries.",np-e1
Quillstone Software,quillstone-demo.com,"Berlin, Germany",Software,55,job_posting,Full Stack Engineer,5 days ago,https://quillstone-demo.com/jobs/full-stack-engineer,"TypeScript and Go across the product.",qs-4
Redfern Manufacturing,redfern-demo.com,"Birmingham, United Kingdom",Manufacturing,650,job_posting,Plant Controller,11 days ago,https://redfern-demo.com/careers/plant-controller,"Site finance lead for the main production plant.",rf-31
Redfern Manufacturing,redfern-demo.com,"Birmingham, United Kingdom",Manufacturing,650,job_posting,Cost Accountant,35 days ago,https://redfern-demo.com/careers/cost-accountant,"Re-advertised. Hands-on cost accounting across two sites.",rf-22
